theta;RFC;;KNN;;GNB;;SVC;
3.031146037;48.0675;2.726457179;76.36;1.819450466;66.21;2.205028344;57.865;2.310416629
3.043417883;48.695;2.88369988;76.5475;1.777883222;66.285;2.3132823;57.975;2.277196742
3.055689729;48.7075;2.699781241;76.765;1.740624888;66.7525;2.365241795;58.29;2.288208907
3.067961576;48.2925;2.684225913;77.0175;1.813578989;66.965;2.336402149;58.585;2.36226057
3.080233422;49.015;2.742676612;77.265;1.870434442;67.3225;2.562297553;58.75;2.316246964
3.092505268;49.06;2.795558978;77.4125;1.932412676;67.2875;2.606092621;59.0775;2.3496529
3.104777115;49.54;2.64497637;77.555;1.936356114;67.645;2.375968224;59.2825;2.46821165
3.117048961;49.3275;2.630754407;77.685;1.943135353;67.65;2.50149955;59.5425;2.560286849
3.129320807;49.6225;2.590244921;77.8575;1.825943249;67.995;2.484698171;59.82;2.468319266
3.141592654;49.69;2.544631604;77.9525;1.809590769;68.2325;2.465830235;60.0425;2.38224028
3.1538645;49.6175;3.098478457;78.07;1.878523356;68.44;2.568589107;60.035;2.331045903
3.166136346;50.05;2.979513383;78.3225;1.910920917;68.675;2.511100356;60.3525;2.413787221
3.178408193;50.02;2.616457529;78.43;2.02672149;69.11;2.290283825;60.4425;2.375356552
3.190680039;50.26;2.729908423;78.665;1.930097148;69.17;2.378255663;60.5025;2.373945819
3.202951885;50.515;2.981572572;78.82;1.899697344;69.4425;2.254954268;60.6875;2.228613639
3.215223731;50.6925;2.775980683;79.0275;1.894694896;69.6075;2.247569521;60.64;2.330321866
3.227495578;50.685;3.035337708;79.28;1.941095052;69.75;2.444125611;60.7825;2.437123048
3.239767424;50.3925;3.090561235;79.315;2.076240593;69.7475;2.420871486;60.7425;2.372618543
3.25203927;50.305;2.468445867;79.3775;2.141113904;69.7675;2.510790463;60.65;2.327283825
3.264311117;50.825;2.619040855;79.48;2.05963589;69.965;2.446175587;60.6775;2.520489784
3.276582963;50.94;2.759329629;79.5125;2.035428395;69.89;2.365988166;60.6975;2.537295558
3.288854809;50.27;2.772561992;79.55;1.973575436;69.8425;2.606639359;60.815;2.384224192
3.301126656;50.8225;2.696362133;79.6825;1.93773547;69.785;2.416614367;60.8575;2.43881503
3.313398502;50.86;2.991930815;79.69;1.928120847;69.855;2.54930873;60.93;2.402103245
3.325670348;50.66;2.781753044;79.735;1.910111253;69.92;2.563903274;61.0175;2.360152273
3.337942194;50.725;2.905275374;79.8175;1.91893688;69.915;2.514512875;60.9925;2.378669534
3.350214041;51.41;2.489357347;79.9025;1.891393336;69.8025;2.391990541;61.1375;2.493084184
3.362485887;50.7775;2.834143389;79.815;1.95883256;70.06;2.480705545;61.21;2.500179994
3.374757733;50.9675;2.967670593;79.86;1.994153956;69.9275;2.521233577;61.2325;2.498813468
3.38702958;51.115;2.972881599;79.855;2.010031094;69.845;2.454531524;61.355;2.444683006
3.399301426;51.2625;2.900511808;79.885;2.01507444;69.775;2.522771294;61.525;2.513090727
3.411573272;50.9575;2.626322286;79.95;1.997811302;69.6025;2.529598535;61.5125;2.439102038
3.423845119;50.9575;2.78927746;79.945;2.014813887;69.4475;2.426493097;61.3675;2.38889488
3.436116965;51.0925;2.788067207;79.94;1.97582894;69.5125;2.472694633;61.5075;2.423183598
3.448388811;51.125;2.44910698;79.91;2.042216933;69.3925;2.528155207;61.44;2.351892855
3.460660657;51.195;2.48359115;79.81;2.097355478;69.3975;2.440055071;61.3825;2.238150743
3.472932504;51.11;2.680559643;79.805;2.062637874;69.43;2.479939515;61.3475;2.238832006
3.48520435;50.9;2.743401174;79.73;2.079867784;69.345;2.536675975;61.23;2.267619898
3.497476196;51.1225;2.960256534;79.6175;2.101325475;69.0175;2.458977176;61.17;2.289617872
3.509748043;50.605;2.664390174;79.65;2.038381711;68.91;2.711208218;61.2375;2.427543769
3.522019889;50.255;2.997077743;79.6175;1.995762699;69.0175;2.634685702;61.075;2.446809147
3.534291735;50.3925;2.896173122;79.52;1.892973851;68.995;2.570500924;60.99;2.471821191
